steal swipe shoplift,klauen
demand request call for,fordern
bounce,aufrappeln
grant provide give,gewähren
last continue persist,andauern
areas territories regions field area zones parts territory sites domains districts realms order,gebieten
apply muster raise,aufbringen
represent constitute display,darstellen
shape create form,gestalten
beware guard tend,hüten
create make provide,schaffen
capsize keel over,kentern
claim require take up,beanspruchen
bring contribute introduce,einbringen
crackle sizzle crinkling,knistern
vary fluctuate waver,schwanken
develop draw up work out,ausarbeiten
clang clatter clank,scheppern
continued influence,fortwirken
splash dabble slosh,platschen
determine detect investigate,ermitteln
acknowledge receipt sign,quittieren
went proceeded headed,begeben
justify establish explain,begründen
urge push press,drängen
modest humble unassuming,bescheiden
arise incur occur,anfallen
bake jaw cheek cook fry brown oven backen roast,backen
swarm adore enthuse,schwärmen
rework re-work refinish,nacharbeiten
